
2024/05/19 (02:30:51) | ===> btop++ v.1.3.2
2024/05/19 (02:30:51) | WARNING: ROCm SMI: Failed to get maximum GPU power draw, defaulting to 225W
2024/05/19 (02:30:51) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2024/05/19 (02:30:51) | WARNING: ROCm SMI: Failed to get VRAM utilization
2024/05/19 (02:30:51) | WARNING: ROCm SMI: Failed to get GPU power usage
2024/05/19 (02:30:51) | WARNING: ROCm SMI: Failed to get PCIe throughput

2024/05/19 (02:33:04) | ===> btop++ v.1.3.2
2024/05/19 (02:33:04) | WARNING: ROCm SMI: Failed to get maximum GPU power draw, defaulting to 225W
2024/05/19 (02:33:04) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2024/05/19 (02:33:04) | WARNING: ROCm SMI: Failed to get VRAM utilization
2024/05/19 (02:33:04) | WARNING: ROCm SMI: Failed to get GPU power usage
2024/05/19 (02:33:04) | WARNING: ROCm SMI: Failed to get PCIe throughput

2024/05/19 (02:37:08) | ===> btop++ v.1.3.2
2024/05/19 (02:37:08) | WARNING: ROCm SMI: Failed to get maximum GPU power draw, defaulting to 225W
2024/05/19 (02:37:08) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2024/05/19 (02:37:08) | WARNING: ROCm SMI: Failed to get VRAM utilization
2024/05/19 (02:37:08) | WARNING: ROCm SMI: Failed to get GPU power usage
2024/05/19 (02:37:08) | WARNING: ROCm SMI: Failed to get PCIe throughput

2024/05/19 (02:46:23) | ===> btop++ v.1.3.2
2024/05/19 (02:46:23) | WARNING: ROCm SMI: Failed to get maximum GPU power draw, defaulting to 225W
2024/05/19 (02:46:23) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2024/05/19 (02:46:23) | WARNING: ROCm SMI: Failed to get VRAM utilization
2024/05/19 (02:46:23) | WARNING: ROCm SMI: Failed to get GPU power usage
2024/05/19 (02:46:23) | WARNING: ROCm SMI: Failed to get PCIe throughput

2024/05/19 (02:53:22) | ===> btop++ v.1.3.2
2024/05/19 (02:53:22) | WARNING: ROCm SMI: Failed to get maximum GPU power draw, defaulting to 225W
2024/05/19 (02:53:22) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2024/05/19 (02:53:22) | WARNING: ROCm SMI: Failed to get VRAM utilization
2024/05/19 (02:53:22) | WARNING: ROCm SMI: Failed to get GPU power usage
2024/05/19 (02:53:22) | WARNING: ROCm SMI: Failed to get PCIe throughput

2024/05/19 (03:23:00) | ===> btop++ v.1.3.2
2024/05/19 (03:23:00) | WARNING: ROCm SMI: Failed to get maximum GPU power draw, defaulting to 225W
2024/05/19 (03:23:00) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2024/05/19 (03:23:00) | WARNING: ROCm SMI: Failed to get VRAM utilization
2024/05/19 (03:23:00) | WARNING: ROCm SMI: Failed to get GPU power usage
2024/05/19 (03:23:00) | WARNING: ROCm SMI: Failed to get PCIe throughput

2024/05/19 (03:29:48) | ===> btop++ v.1.3.2
2024/05/19 (03:29:48) | WARNING: ROCm SMI: Failed to get maximum GPU power draw, defaulting to 225W
2024/05/19 (03:29:48) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2024/05/19 (03:29:48) | WARNING: ROCm SMI: Failed to get VRAM utilization
2024/05/19 (03:29:48) | WARNING: ROCm SMI: Failed to get GPU power usage
2024/05/19 (03:29:48) | WARNING: ROCm SMI: Failed to get PCIe throughput

2024/05/19 (03:37:24) | ===> btop++ v.1.3.2
2024/05/19 (03:37:24) | WARNING: ROCm SMI: Failed to get maximum GPU power draw, defaulting to 225W
2024/05/19 (03:37:24) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2024/05/19 (03:37:24) | WARNING: ROCm SMI: Failed to get VRAM utilization
2024/05/19 (03:37:24) | WARNING: ROCm SMI: Failed to get GPU power usage
2024/05/19 (03:37:24) | WARNING: ROCm SMI: Failed to get PCIe throughput

2024/05/19 (03:50:19) | ===> btop++ v.1.3.2
2024/05/19 (03:50:19) | WARNING: ROCm SMI: Failed to get maximum GPU power draw, defaulting to 225W
2024/05/19 (03:50:19) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2024/05/19 (03:50:19) | WARNING: ROCm SMI: Failed to get VRAM utilization
2024/05/19 (03:50:19) | WARNING: ROCm SMI: Failed to get GPU power usage
2024/05/19 (03:50:19) | WARNING: ROCm SMI: Failed to get PCIe throughput

2024/05/19 (04:29:34) | ===> btop++ v.1.3.2
2024/05/19 (04:29:34) | WARNING: ROCm SMI: Failed to get maximum GPU power draw, defaulting to 225W
2024/05/19 (04:29:34) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2024/05/19 (04:29:34) | WARNING: ROCm SMI: Failed to get VRAM utilization
2024/05/19 (04:29:34) | WARNING: ROCm SMI: Failed to get GPU power usage
